,kW,Rida,Gamybos_metai
1675,147,221320,2008
1676,130,274108,201302
1677,225,320000,201010
1678,135,296686,2013
1679,180,304554,201108
1680,135,293000,201103
1681,180,95500,2015
1682,135,229621,201305
1683,190,245000,201207
1684,180,220000,201212
1685,224,247200,201212
1686,135,198700,201105
1687,180,270000,2014
1688,235,314000,2010
1689,147,221000,201404
1690,155,103000,2013
1691,150,155600,201407
1692,158,255500,201201
1693,130,114000,2016
1694,180,340000,2010
1695,147,221320,2008
1696,130,274108,201302
1697,225,320000,201010
1698,135,296686,2013
1699,180,304554,201108
1700,135,293000,201103
1701,180,95500,2015
1702,135,229621,201305
1703,190,245000,201207
1704,180,220000,201212
1705,224,247200,201212
1706,110,258000,201603
1707,225,258393,201107
1708,135,324172,201404
1709,130,298000,201212
1710,177,390000,201006
1711,176,286000,2011
1712,155,162000,201307
1713,255,130000,201304
1714,140,295000,201506
1715,177,250000,201008
1716,135,241091,201203
1717,125,176000,201008
1718,110,237000,201509
1719,160,250550,201208
1720,150,258300,201106
1721,122,161000,2015
1722,150,349000,201107
1723,180,315616,2011
1724,125,232000,201001
1725,110,258000,201603
1726,225,258393,201107
1727,135,324172,201404
1728,173,1,200905
1729,130,298000,201212
1730,177,390000,201006
1731,176,286000,2011
1732,155,162000,201307
1733,255,130000,201304
1734,140,295000,201506
1735,177,250000,201008
1736,135,241091,201203
1737,125,176000,201008
1738,110,237000,201509
1739,160,250550,201208
1740,150,258300,201106
1741,122,161000,2015
1742,150,349000,201107
1743,180,315616,2011
1744,125,232000,201001
1745,135,276000,201310
1746,155,268000,201109
1747,130,320000,201309
1748,160,281480,201112
1749,176,181184,201111
1750,110,96000,201405
1751,210,248000,200911
1752,135,275600,201512
1753,120,333468,201512
1754,150,298000,201112
1755,147,62390,201109
1756,125,188000,201802
1757,110,214537,201412
1758,120,100500,201503
1759,124,140000,201706
1760,110,186363,201603
1761,110,309000,201807
1762,184,187500,201501
1763,135,276000,201310
1764,155,268000,201109
1765,130,320000,201309
1766,160,281480,201112
1767,176,181184,201111
1768,110,96000,201405
1769,210,248000,200911
1770,135,275600,201512
1771,190,1,201304
1772,120,333468,201512
1773,150,298000,201112
1774,147,62390,201109
1775,125,188000,201802
1776,110,214537,201412
